prophage_contig_name,all_activate_count,stool_activate_count,capsule_activate_count,saliva_activate_count,all_dormant_count,stool_dormant_count,capsule_dormant_count,saliva_dormant_count,all_undetected_count,stool_undetected_count,capsule_undetected_count,saliva_undetected_count,all_active_sample,contig,sample,bin_name,fastani_classification,checkm_marker_lineage,taxonomy,annotated,active
M9_1-k141_15133,0,0,0,0,142,34,108,0,117,24,64,29,NA,k141_15133,M9_1,M9_1.bin.4,d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__Bilophila wadsworthia,c__Deltaproteobacteria (UID3218),d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__Bilophila wadsworthia,yes,no
M9_1-k141_9677,0,0,0,0,231,58,148,25,28,0,24,4,NA,k141_9677,M9_1,M9_1.bin.5,NA,o__Bacteroidales (UID2657),o__Bacteroidales (UID2657),yes,yes
O11_1-k141_10567,0,0,0,0,100,17,64,19,159,41,108,10,NA,k141_10567,O11_1,O11_1.bin.2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Hafnia;s__Hafnia alvei,f__Enterobacteriaceae (UID5054),d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Hafnia;s__Hafnia alvei,yes,no
O11_1-k141_3288,0,0,0,0,258,58,171,29,1,0,1,0,NA,k141_3288,O11_1,O11_1.bin.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter sp001037495,f__Enterobacteriaceae (UID5124),d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter sp001037495,yes,yes
O11_1-k141_4847,0,0,0,0,0,0,0,0,259,58,172,29,NA,NA,NA,NA,NA,NA,NA,no,no
O11_1-k141_8131,0,0,0,0,233,54,150,29,26,4,22,0,NA,NA,NA,NA,NA,NA,NA,no,no
O11_2-k141_23415,0,0,0,0,249,58,162,29,10,0,10,0,NA,NA,NA,NA,NA,NA,NA,no,no
O11_2-k141_50219,8,2,6,0,221,56,150,15,30,0,16,14,"E2_2,E4_2,E6_2,E8_2,G17_2,G19_2,O13_2,O15_2,O9_2",NA,NA,NA,NA,NA,NA,no,yes
O11_2-k141_55941,0,0,0,0,210,58,135,17,49,0,37,12,NA,NA,NA,NA,NA,NA,NA,no,no
O11_2-k141_71578,0,0,0,0,249,58,163,28,10,0,9,1,NA,k141_71578,O11_2,O11_2.bin.26,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea formicigenerans,f__Lachnospiraceae (UID1256),d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea formicigenerans,yes,no
O12_2-k141_14274,0,0,0,0,251,58,165,28,8,0,7,1,NA,k141_14274,O12_2,O12_2.bin.7,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q sp003024715,o__Clostridiales (UID1226),d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q sp003024715,yes,yes
O12_2-k141_42419,0,0,0,0,200,58,142,0,59,0,30,29,NA,NA,NA,NA,NA,NA,NA,no,yes
O12_2-k141_58905,0,0,0,0,256,58,170,28,3,0,2,1,NA,k141_58905,O12_2,O12_2.bin.7,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q sp003024715,o__Clostridiales (UID1226),d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q sp003024715,yes,no
O12_2-k141_68756,0,0,0,0,241,58,157,26,18,0,15,3,NA,k141_68756,O12_2,O12_2.bin.13,NA,g__Bacteroides (UID2691),g__Bacteroides (UID2691),yes,yes
O13_2-k141_105070,0,0,0,0,230,58,151,21,29,0,21,8,NA,k141_105070,O13_2,O13_2.bin.21,NA,o__Clostridiales (UID1212),o__Clostridiales (UID1212),yes,no
O13_2-k141_36397,0,0,0,0,96,29,67,0,163,29,105,29,NA,k141_36397,O13_2,O13_2.bin.22,NA,o__Clostridiales (UID1226),o__Clostridiales (UID1226),yes,yes
O14_2-k141_20969,0,0,0,0,239,58,152,29,20,0,20,0,NA,k141_20969,O14_2,O14_2.bin.9,NA,k__Bacteria (UID2372),k__Bacteria (UID2372),yes,no
O14_2-k141_27222,0,0,0,0,253,58,166,29,6,0,6,0,NA,NA,NA,NA,NA,NA,NA,no,no
O14_2-k141_53097,5,0,5,0,232,58,153,21,22,0,14,8,"J19_2,O10_2,O2_2,O4_2,O8_2",NA,NA,NA,NA,NA,NA,no,yes
O14_2-k141_542,1,0,1,0,233,58,158,17,25,0,13,12,B3_2,k141_542,O14_2,O14_2.bin.10,NA,o__Clostridiales (UID1226),o__Clostridiales (UID1226),yes,yes
O15_2-k141_20735,11,3,8,0,207,55,129,23,41,0,35,6,"A4_2,E13_2,E14_2,E20_2,E2_2,E4_2,E6_2,E8_2,G11_1,G17_2,G19_2,G21_1,G23_1,G7_1,I1_1,I5_1,I9_1,M23_2,M5_2,N21_1,O19_2",NA,NA,NA,NA,NA,NA,no,yes
O15_2-k141_23085,0,0,0,0,177,58,116,3,82,0,56,26,NA,NA,NA,NA,NA,NA,NA,no,no
O15_2-k141_99028,0,0,0,0,48,14,34,0,211,44,138,29,NA,k141_99028,O15_2,O15_2.bin.12,NA,p__Bacteroidetes (UID2605),p__Bacteroidetes (UID2605),yes,yes
O16_2-k141_16352,0,0,0,0,250,57,164,29,9,1,8,0,NA,NA,NA,NA,NA,NA,NA,no,no
O16_2-k141_5975,0,0,0,0,43,11,29,3,216,47,143,26,NA,NA,NA,NA,NA,NA,NA,no,no
O16_2-k141_6623,0,0,0,0,98,23,75,0,161,35,97,29,NA,k141_6623,O16_2,O16_2.bin.9,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Raoultella;s__Raoultella ornithinolytica,f__Enterobacteriaceae (UID5121),d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Raoultella;s__Raoultella ornithinolytica,yes,no
O17_1-k141_15055,7,0,7,0,247,58,160,29,5,0,5,0,"F15_1,G18_2,G20_2,G22_2,H15_1,J15_1,L15_1",k141_15055,O17_1,O17_1.bin.3,NA,p__Bacteroidetes (UID2605),p__Bacteroidetes (UID2605),yes,yes
O17_1-k141_65716,0,0,0,0,254,58,170,26,5,0,2,3,NA,NA,NA,NA,NA,NA,NA,no,no
O17_2-k141_33475,0,0,0,0,217,57,149,11,42,1,23,18,NA,k141_33475,O17_2,O17_2.bin.25,NA,o__Clostridiales (UID1212),o__Clostridiales (UID1212),yes,yes
O17_2-k141_52836,0,0,0,0,225,57,151,17,34,1,21,12,NA,NA,NA,NA,NA,NA,NA,no,no
O18_2-k141_29758,0,0,0,0,195,42,129,24,64,16,43,5,NA,NA,NA,NA,NA,NA,NA,no,no
O18_2-k141_40615,0,0,0,0,215,55,136,24,44,3,36,5,NA,NA,NA,NA,NA,NA,NA,no,no
O18_2-k141_46573,0,0,0,0,162,48,103,11,97,10,69,18,NA,NA,NA,NA,NA,NA,NA,no,no
O18_2-k141_50751,1,0,1,0,195,56,120,19,63,2,51,10,F3_2,NA,NA,NA,NA,NA,NA,no,yes
O19_2-k141_28184,0,0,0,0,230,58,143,29,29,0,29,0,NA,NA,NA,NA,NA,NA,NA,no,no
O19_2-k141_28633,0,0,0,0,222,49,145,28,37,9,27,1,NA,k141_28633,O19_2,O19_2.bin.7,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella;s__Parasutterella excrementihominis,p__Proteobacteria (UID3887),d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella;s__Parasutterella excrementihominis,yes,yes
O21_2-k141_12232,0,0,0,0,179,50,126,3,80,8,46,26,NA,k141_12232,O21_2,O21_2.bin.14,NA,k__Bacteria (UID2372),k__Bacteria (UID2372),yes,no
O21_2-k141_12249,7,3,4,0,220,55,141,24,32,0,27,5,"E13_2,E14_2,E20_2,E2_2,E4_2,E6_2,E8_2,G17_2,G19_2,G21_1,G23_1,I1_1,M5_2,N21_1",NA,NA,NA,NA,NA,NA,no,yes
O21_2-k141_12340,11,0,11,0,234,58,151,25,14,0,10,4,"A10_2,A12_2,A2_2,A4_2,A8_2,O11_2,O13_2,O15_2,O17_2,O19_2,O7_2,O9_2",NA,NA,NA,NA,NA,NA,no,yes
O21_2-k141_26347,0,0,0,0,248,58,161,29,11,0,11,0,NA,NA,NA,NA,NA,NA,NA,no,yes
O21_2-k141_27162,0,0,0,0,221,58,160,3,38,0,12,26,NA,k141_27162,O21_2,O21_2.bin.9,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__,o__Clostridiales (UID1226),d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__,yes,no
O21_2-k141_32755,4,0,4,0,228,58,141,29,27,0,27,0,"A10_2,A12_2,O17_2,O19_2",NA,NA,NA,NA,NA,NA,no,yes
O21_2-k141_53885,2,0,2,0,237,58,151,28,20,0,19,1,"O11_1,O13_1",NA,NA,NA,NA,NA,NA,no,yes
O22_2-k141_10356,0,0,0,0,220,55,138,27,39,3,34,2,NA,k141_10356,O22_2,O22_2.bin.2,NA,f__Enterobacteriaceae (UID5162),f__Enterobacteriaceae (UID5162),yes,no
O3_2-k141_8110,0,0,0,0,217,58,145,14,42,0,27,15,NA,NA,NA,NA,NA,NA,NA,no,yes
O4_2-k141_49242,0,0,0,0,218,58,143,17,41,0,29,12,NA,NA,NA,NA,NA,NA,NA,no,no
O5_2-k141_43,6,2,4,0,222,56,142,24,31,0,26,5,"E14_2,E20_2,E2_2,E4_2,E6_2,E8_2,G17_2,G19_2,G21_1,G23_1,I1_1,M15_2,M5_2,N21_1",k141_43,O5_2,O5_2.bin.8,NA,o__Bacteroidales (UID2654),o__Bacteroidales (UID2654),yes,yes
O7_1-k141_16862,43,3,40,0,192,55,111,26,24,0,21,3,"A10_2,A12_2,A17_2,A2_2,A4_2,A8_2,C7_1,C9_1,E11_1,E1_1,E5_1,F15_1,F23_1,G11_1,G5_1,G7_1,G9_1,H15_1,H23_1,I1_1,I23_1,J17_2,K12_2,K14_2,K16_2,K20_2,K21_1,K22_2,K2_2,K3_1,K5_1,K6_2,K7_1,K8_2,K9_1,L15_1,L23_1,M11_1,M12_2,M14_2,M2_2,M8_2,M9_1,N21_1,O11_2,O17_1,O17_2,O19_1,O19_2,O23_2,O9_2",k141_16862,O7_1,O7_1.bin.6,NA,o__Bacteroidales (UID2654),o__Bacteroidales (UID2654),yes,yes
O7_1-k141_2499,3,2,1,0,235,56,152,27,21,0,19,2,"C17_1,C19_1,G9_1,I9_1,M7_2",k141_2499,O7_1,O7_1.bin.8,NA,p__Bacteroidetes (UID2605),p__Bacteroidetes (UID2605),yes,yes
O7_1-k141_32472,1,0,1,0,253,58,166,29,5,0,5,0,F15_1,k141_32472,O7_1,O7_1.bin.6,NA,o__Bacteroidales (UID2654),o__Bacteroidales (UID2654),yes,yes
O7_1-k141_497,7,0,7,0,249,58,162,29,3,0,3,0,"E20_2,F15_1,F23_1,H15_1,J23_1,L23_1,O13_1,O17_1,O21_1,O23_1",k141_497,O7_1,O7_1.bin.7,NA,o__Bacteroidales (UID2657),o__Bacteroidales (UID2657),yes,yes
O7_2-k141_56547,57,8,49,0,143,46,94,3,59,4,29,26,"A10_2,A12_2,A17_2,A2_2,A4_2,A6_2,A8_2,C1_2,C3_2,C7_1,C9_1,C9_2,E11_1,E1_1,E5_1,F15_1,F23_1,G11_1,G13_2,G15_2,G3_1,G5_1,G7_1,G9_1,H11_2,H15_1,H23_1,H23_2,I23_1,J17_2,J23_1,K12_2,K14_2,K16_2,K20_2,K21_1,K22_2,K2_2,K3_1,K5_1,K7_1,K8_2,K9_1,L15_1,L23_1,M11_1,M12_2,M14_2,M1_1,M2_2,M7_1,M8_2,M9_1,N21_1,O11_2,O13_1,O15_2,O17_1,O17_2,O19_1,O19_2,O21_1,O23_1,O23_2,O7_2,O9_2",NA,NA,NA,NA,NA,NA,no,yes
P15_1-k141_102626,0,0,0,0,246,58,162,26,13,0,10,3,NA,k141_102626,P15_1,P15_1.bin.12,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea longicatena_B,f__Lachnospiraceae (UID1256),d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea longicatena_B,yes,no
P15_1-k141_20575,0,0,0,0,202,55,146,1,57,3,26,28,NA,k141_20575,P15_1,P15_1.bin.13,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_E;s__Eubacterium_E hallii,o__Clostridiales (UID1212),d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_E;s__Eubacterium_E hallii,yes,no
P15_1-k141_23225,20,3,17,0,205,54,123,28,34,1,32,1,"A16_2,A18_2,A22_2,C10_2,C12_2,C16_2,C18_2,C20_2,C22_2,C2_2,C4_2,C6_2,C8_2,E14_2,E20_2,E2_2,E4_2,E6_2,E8_2,G17_2,G19_2,G21_2,H11_2,J9_2",k141_23225,P15_1,P15_1.bin.22,NA,o__Bacteroidales (UID2657),o__Bacteroidales (UID2657),yes,yes
P15_1-k141_40556,3,0,3,0,245,58,158,29,11,0,11,0,"B19_1,E2_2,E4_2,E6_2,F19_1,H19_1,J17_1,J19_1,L19_1,N15_1",NA,NA,NA,NA,NA,NA,no,yes
P15_1-k141_52965,2,0,2,0,235,58,148,29,22,0,22,0,"B17_1,J19_1",NA,NA,NA,NA,NA,NA,no,yes
P15_1-k141_65755,0,0,0,0,259,58,172,29,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,no,no
P15_1-k141_86587,0,0,0,0,247,58,160,29,12,0,12,0,NA,k141_86587,P15_1,P15_1.bin.12,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea longicatena_B,f__Lachnospiraceae (UID1256),d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea longicatena_B,yes,no
P15_1-k141_92211,0,0,0,0,236,58,158,20,23,0,14,9,NA,NA,NA,NA,NA,NA,NA,no,no
P15_1-k141_98150,0,0,0,0,250,58,163,29,9,0,9,0,NA,NA,NA,NA,NA,NA,NA,no,no
