prophage_contig_name,all_activate_count,stool_activate_count,capsule_activate_count,saliva_activate_count,all_dormant_count,stool_dormant_count,capsule_dormant_count,saliva_dormant_count,all_undetected_count,stool_undetected_count,capsule_undetected_count,saliva_undetected_count,all_active_sample,contig,sample,bin_name,fastani_classification,checkm_marker_lineage,taxonomy,annotated,active
K21_1-k141_3340,0,0,0,0,219,57,133,29,40,1,39,0,NA,NA,NA,NA,NA,NA,NA,no,no
K22_2-k141_39129,0,0,0,0,233,58,159,16,26,0,13,13,NA,NA,NA,NA,NA,NA,NA,no,no
K3_1-k141_16809,3,0,3,0,240,58,154,28,16,0,15,1,"E8_2,G23_1,I11_1,I17_1,I19_1,I1_1,I7_1,M19_2,M5_2,N21_1,O3_2,O5_2",k141_16809,K3_1,K3_1.bin.3,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_B;s__,k__Bacteria (UID203),d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_B;s__,yes,yes
K3_1-k141_49394,0,0,0,0,250,58,163,29,9,0,9,0,NA,NA,NA,NA,NA,NA,NA,no,yes
K3_1-k141_57505,2,2,0,0,172,56,116,0,85,0,56,29,"C7_1,C9_1",NA,NA,NA,NA,NA,NA,no,yes
K3_1-k141_70711,0,0,0,0,171,56,110,5,88,2,62,24,NA,NA,NA,NA,NA,NA,NA,no,no
K3_1-k141_7507,0,0,0,0,207,58,144,5,52,0,28,24,NA,k141_7507,K3_1,K3_1.bin.4,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp900066565,k__Bacteria (UID203),d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp900066565,yes,no
K3_2-k141_25127,0,0,0,0,132,20,83,29,127,38,89,0,NA,NA,NA,NA,NA,NA,NA,no,no
K3_2-k141_85291,2,0,0,2,177,54,96,27,80,4,76,0,"K3_2,K5_2",k141_85291,K3_2,K3_2.bin.10,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella dispar_A,o__Selenomonadales (UID1024),d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella dispar_A,yes,yes
K3_2-k141_98191,0,0,0,0,217,56,132,29,42,2,40,0,NA,k141_98191,K3_2,K3_2.bin.15,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__Lancefieldella sp000564995,p__Actinobacteria (UID2112),d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__Lancefieldella sp000564995,yes,no
